Observation id,Observation date,Description,Media file,Total length,FPS,Weather,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,3.320,5.820,2.500,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,9.288,10.285,0.997,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,11.661,13.911,2.250,AND STEERING WHEEL,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,window,STATE,14.791,17.039,2.248,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,19.797,21.048,1.251,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,21.379,25.130,3.751,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,32.516,34.017,1.501,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,33.268,36.518,3.250,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,TV,STATE,47.157,53.407,6.250,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,93.992,101.625,7.633,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,94.406,128.908,34.502,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,103.798,106.548,2.750,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,111.969,115.971,4.002,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,123.731,127.735,4.004,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,132.535,135.034,2.499,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,None,STATE,137.329,138.042,0.713,ONLY STEERING WHEEL,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Environment,Construction,Environment,,STATE,139.235,187.253,48.018,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,139.788,141.541,1.753,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,168.737,170.489,1.752,smile,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,169.487,186.758,17.271,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Other behaviours,Human,,STATE,188.550,239.795,51.245,Accidentally: restart of the steering wheel:The participant touched the steering wheel and tried to stop it.,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,190.343,190.841,0.498,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,192.719,195.719,3.000,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,TV,STATE,196.805,207.805,11.000,Check the TV constantly while worrying about the SR.(while check the steering wheel),
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,TV,STATE,210.697,220.694,9.997,"check TV,STEERING WHEEL and the Pedal!",
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,221.200,238.537,17.337,and steering wheel,"Here is the steering wheel error. Every time check the steering wheel, will check the TV"
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,242.182,246.104,3.922,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,TV,STATE,249.939,262.188,12.249,"And ptototype, and steering wheel",
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,272.342,273.841,1.499,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,288.648,297.402,8.754,AND STEERING WHEEL,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,301.202,304.462,3.260,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,311.251,314.501,3.250,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,318.253,341.638,23.385,"When truck passing by, checked the window.",
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Environment,Trucks,Environment,,STATE,319.138,324.648,5.510,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,326.635,328.638,2.003,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,342.871,345.370,2.499,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Environment,Trucks,Environment,,STATE,356.873,362.123,5.250,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,359.178,367.391,8.213,"When truck passing by, checked the window.",
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,373.818,374.523,0.705,And steering wheel.,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,377.734,380.734,3.000,Check time,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,380.781,391.084,10.303,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,TV,STATE,392.750,395.482,2.732,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,"window,TV",STATE,398.456,400.634,2.178,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,402.404,405.139,2.735,Truck! He looked at the truck when the car reached the end of the truck. And look down when the car hadn't pass the truck totally.,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Environment,Trucks,Environment,,STATE,402.624,406.374,3.750,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,409.558,412.312,2.754,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,413.106,416.609,3.503,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,413.154,436.421,23.267,And steering wheel,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,419.862,422.530,2.668,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,449.391,452.389,2.998,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,454.692,456.609,1.917,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Environment,Turning,Environment,,STATE,456.279,469.409,13.130,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,TV,STATE,457.734,460.991,3.257,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,"window,TV",STATE,492.342,495.227,2.885,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,496.357,537.344,40.987,look down once. Also check the chair arm and the steering wheel.,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Environment,Turning,Environment,,STATE,504.073,521.585,17.512,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,534.769,538.019,3.250,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,542.879,543.361,0.482,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,548.159,549.412,1.253,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,549.829,551.829,2.000,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,550.079,555.286,5.207,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,562.341,564.256,1.915,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Lane change,Vehicle,,STATE,562.549,565.298,2.749,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Environment,Trucks,Environment,,STATE,587.236,589.740,2.504,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,587.989,589.492,1.503,TRUCK!,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,614.351,617.103,2.752,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,621.064,631.071,10.007,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,641.057,641.753,0.696,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,650.535,651.342,0.807,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,Deceleration,Vehicle,,STATE,661.783,664.602,2.819,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,661.893,676.776,14.883,Triggered by sudden brake.,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,662.645,664.897,2.252,Tried to touch the sr!!,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,668.776,670.526,1.750,Same behaviour again! try control the steering wheel.,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,None,STATE,684.834,685.336,0.502,ONLY STEERING WHEEL,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,709.186,710.817,1.631,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,713.288,714.370,1.082,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,729.878,730.172,0.294,Smile,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,730.172,733.553,3.381,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,734.482,742.096,7.614,stretch and yawn,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,window,STATE,734.663,737.551,2.888,,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look up,Human,TV,STATE,741.686,742.895,1.209,Triggered by yawning,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Look around,Human,"window,TV",STATE,744.355,768.793,24.438,"triggered by adjusting AC
",
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,744.813,754.565,9.752,Adjust AC,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Human,Other behaviours,Human,,STATE,755.865,760.875,5.010,Adjust AC,
12with,2022-10-14 12:41:49,Participant 12 with prototype,syn-gp12-with.mp4,790.830,23.98,Sunny,Vehicle,End of the trial,,,POINT,773.006,773.006,NA,,
